Name,Speed,Modules,Price / GB,DDR,Price
TEAMGROUP T-Create Expert 32 GB,3200,2 x 16GB,1.812,DDR4,57.99
TEAMGROUP T-Create Expert 32 GB,3600,2 x 16GB,1.843,DDR4,58.99
Silicon Power XPOWER Turbine 32 GB,3200,2 x 16GB,1.562,DDR4,49.97
Kingston FURY Beast RGB 32 GB,3200,2 x 16GB,2.374,DDR4,75.98
Patriot Viper Steel 32 GB,3200,2 x 16GB,1.875,DDR4,59.99
G.Skill Aegis 32 GB,3200,2 x 16GB,1.968,DDR4,62.99
Corsair Vengeance LPX 32 GB,3600,2 x 16GB,2.812,DDR4,89.99
G.Skill Trident Z Royal 32 GB,3600,2 x 16GB,3.281,DDR4,104.99
G.Skill Ripjaws V 32 GB,4400,2 x 16GB,2.593,DDR4,82.99
TEAMGROUP T-Create Classic 32 GB,3200,2 x 16GB,1.812,DDR4,57.99
Corsair Vengeance RGB RT 32 GB,3600,2 x 16GB,3.125,DDR4,99.99
Corsair Vengeance RGB RT 32 GB,4600,2 x 16GB,4.531,DDR4,144.99
Corsair Vengeance RGB Pro 32 GB,3200,4 x 8GB,3.437,DDR4,109.99
Corsair Vengeance LPX 32 GB,3600,4 x 8GB,2.812,DDR4,89.99
Corsair Vengeance RGB Pro 32 GB,3200,4 x 8GB,3.906,DDR4,124.99
G.Skill Trident Z RGB 32 GB,3200,4 x 8GB,3.343,DDR4,106.99
Corsair Vengeance LPX 32 GB,3200,4 x 8GB,2.812,DDR4,89.99
Corsair Dominator Platinum RGB 32 GB,3600,4 x 8GB,5.611,DDR4,179.55
Corsair Vengeance RGB Pro 32 GB,3600,4 x 8GB,4.062,DDR4,129.99
Corsair Vengeance RGB Pro 32 GB,3600,4 x 8GB,4.375,DDR4,139.99
Corsair Vengeance RGB Pro SL 32 GB,3200,4 x 8GB,3.593,DDR4,114.99
G.Skill Ripjaws V 32 GB,3600,4 x 8GB,3.062,DDR4,97.99
Corsair Vengeance LPX 32 GB,3600,4 x 8GB,3.125,DDR4,99.99
Corsair Vengeance RGB Pro SL 32 GB,3600,4 x 8GB,3.906,DDR4,124.99
Corsair Dominator Platinum RGB 32 GB,3600,4 x 8GB,5.625,DDR4,179.99
G.Skill Aegis 32 GB,3200,4 x 8GB,2.499,DDR4,79.98
Kingston FURY Beast 32 GB,3200,4 x 8GB,2.873,DDR4,91.94
Corsair Vengeance RGB Pro SL 32 GB,3600,4 x 8GB,3.906,DDR4,124.99
Corsair Vengeance LPX 32 GB,2666,4 x 8GB,2.812,DDR4,89.99
Corsair Vengeance RGB Pro 32 GB,3600,4 x 8GB,4.531,DDR4,144.99
Corsair Vengeance RGB Pro SL 32 GB,3200,4 x 8GB,3.593,DDR4,114.99
Corsair Dominator Platinum RGB 32 GB,3200,4 x 8GB,5.000,DDR4,159.99
Kingston FURY Beast RGB 32 GB,3600,4 x 8GB,3.811,DDR4,121.95
G.Skill Value 32 GB,2400,4 x 8GB,2.134,DDR4,68.28
G.Skill Ripjaws V 32 GB,4000,4 x 8GB,6.093,DDR4,194.99
Corsair Dominator Platinum RGB 32 GB,3200,4 x 8GB,5.000,DDR4,159.99
Kingston FURY Beast 32 GB,2666,4 x 8GB,2.499,DDR4,79.98
Corsair Vengeance LPX 32 GB,3200,4 x 8GB,2.968,DDR4,94.99
Kingston Fury Renegade RGB 32 GB,3600,4 x 8GB,3.696,DDR4,118.27
Corsair Dominator Platinum RGB 32 GB,4000,4 x 8GB,11.870,DDR4,379.85
